Wins	Matches	Discord tag	R	Commander	Time Zone	Adversaire 1	Score		Adversaire 2	Score		Adversaire 3	Score		MW%	OMW%	# G	GW	GW%
1	3	@predchow	276	Liliana of the Veil	GMT -5	XxjakegmrxX	0	2	BudzDaGawd	0	2	el_chivo_x	2	0	33	44%	6	2	33%
1	3	ArthurusBear#94635	276	Sheoldred, the Apocalypse	GMT +1	thorntonamo	2	0	themudman#8734	0	2	blakeleygaming	0	2	33	67%	6	2	33%
2	3	blakeleygaming	276	Satya, Aetherflux Genius	GMT - 8	themudman#8734	1	2	ArthurusBear#94635	2	0	masser	2	0	67	44%	7	5	71%
1	2	bpro_	276	Minsc & Boo, Timeless Heroes	GMT -4	masser			grimstien1#5556	1	2	DiesToRemoval#38340	2	0	50	44%	5	3	60%
2	3	BudzDaGawd	276	Emperor Apatzec Intli IV	GMT -5	el_chivo_x	2	0	XxjakegmrxX	1	2	@predchow	2	0	67	33%	7	5	71%
3	3	DaJolla#5108	276	Winota, Joiner of Forces	GMT +1	momo2000	2	1	Mortred#7824	2	1	Rendroc#6657	2	0	100	22%	8	6	75%
2	3	DiesToRemoval#38340	276	Kaito, Dancing Shadow	GMT -5	grimstien1#5556	2	0	bpro_	0	2	XxjakegmrxX	2	1	67	61%	7	4	57%
0	3	el_chivo_x	276	Ulalek, Fused Atrocity	GMT ?	grimstien1#5556	0	2	BudzDaGawd	0	2	@predchow	0	2	0	56%	6	0	0%
0	3	escanorthecat	276	Samut, Voice of Dissent	GMT-8	ulavala	0	2	McClurkan#85329	0	2	thorntonamo	0	2	0	67%	6	0	0%
2	3	Freyalisër#3719	276	Uro, Titan of Natures Wrath	GMT +2	nicorave	2	0	Proshaka	0	2	onlyattarget	2	0	67	44%	6	4	67%
2	3	grimstien1#5556	276	Klement, Novice Acolyte	GMT -5	bpro_	2	1	DiesToRemoval#38340	0	2	el_chivo_x	2	0	67	39%	7	4	57%
0	3	inkheart#1346	276	Raffine, Scheming Seer	GMT -6	MathemaTiGer128#0607	0	2	yoyomuffin	1	2	mcknight#9612	1	2	0	89%	8	2	25%
0	2	masser	276	Anim Pakal, Thousandth Moon	GMT 0	themudman#8734	0	2	blakeleygaming	0	2	bpro_			0	72%	4	0	0%
3	3	MathemaTiGer128#0607	276	Crucias, Titan of the Waves	GMT +2	Mortred#7824	2	0	Rendroc#6657	2	0	inkheart#1346	2	0	100	11%	6	6	100%
2	3	McClurkan#85329	276	Slimefoot and Squee	GMT-6	Sprucegoose8809	2	0	ulavala	0	2	escanorthecat	2	0	67	33%	6	4	67%
2	3	mcknight#9612	276	Grenzo, Crooked Jailer	GMT +0	yoyomuffin	0	2	inkheart#1346	2	1	Sprucegoose8809	2	1	67	33%	8	4	50%
1	3	momo2000	276	Teferi, Time Raveler	GMT -5	Proshaka	2	0	onlyattarget	1	2	DaJolla#5108	1	2	33	78%	8	4	50%
0	3	Mortred#7824	276	Yorion, Sky Nomad	GMT -8	DaJolla#5108	1	2	Rendroc#6657	1	2	MathemaTiGer128#0607	0	2	0	78%	8	2	25%
0	3	nicorave	276	Valgavoth, Terror Eater	GMT +1	Freyalisër#3719	0	2	Proshaka	1	2	onlyattarget	0	2	0	67%	7	1	14%
2	3	onlyattarget	276	Uro, Titan of Natures Wrath	GMT -5	nicorave	2	0	Freyalisër#3719	0	2	momo2000	2	1	67	33%	7	4	57%
2	3	Proshaka	276	Derevi, Empyrial Tactician	GMT -5	nicorave	2	1	Freyalisër#3719	2	0	momo2000	0	2	67	33%	7	4	57%
1	3	Rendroc#6657	276	Gyruda, Doom of Depths	GMT -5	Mortred#7824	2	1	DaJolla#5108	0	2	MathemaTiGer128#0607	0	2	33	67%	7	2	29%
0	3	Sprucegoose8809	276	Sythis, Harvests Hand	GMT -5	yoyomuffin	0	2	mcknight#9612	1	2	McClurkan#85329	0	2	0	78%	7	1	14%
3	3	themudman#8734	276	Raffine, Scheming Seer	GMT +2	ArthurusBear#94635	2	0	blakeleygaming	2	1	masser	2	0	100	33%	7	6	86%
1	3	thorntonamo	276	Balmor, Battlemage Captain	GMT -5	ulavala	0	2	escanorthecat	2	0	ArthurusBear#94635	0	2	33	44%	6	2	33%
3	3	ulavala	276	Davriel, Soul Broker	GMT -5	McClurkan#85329	2	0	escanorthecat	2	0	thorntonamo	2	0	100	33%	6	6	100%
2	3	XxjakegmrxX	276	Teysa of the Ghost Council	GMT-5	BudzDaGawd	2	1	@predchow	2	0	DiesToRemoval#38340	1	2	67	56%	8	5	63%
3	3	yoyomuffin	276	Derevi, Empyrial Tactician	GMT-7	inkheart#1346	2	1	mcknight#9612	2	0	Sprucegoose8809	2	0	100	22%	7	6	86%
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
0	0														0	0%	0	0	
