Wins	Matches	Discord tag	R	Commander	Time Zone	Week 1 Opponents	Adversaire 1	Score		Adversaire 2	Score		Adversaire 3	Score		MW%	OMW%	# G	GW	GW%
2	3	yoyomuffin	3	Derevi, Empyrial Tactician	GMT-7	inkheart#1346 mcknight#9612 Sprucegoose8809	DaJolla#5108	1	2	MathemaTiGer128#0607	2	1	DiesToRemoval#38340	2	1	67	33%	9	5	56%
1	3	DaJolla#5108	4	Winota, Joiner of Forces	GMT +1	momo2000 Mortred#7824 Rendroc#6657	yoyomuffin	2	1	MathemaTiGer128#0607	1	2	DiesToRemoval#38340	1	2	33	44%	9	4	44%
1	3	MathemaTiGer128#0607	5	Crucias, Titan of the Waves	GMT +2	Mortred#7824 Rendroc#6657 inkheart#1346	yoyomuffin	1	2	DaJolla#5108	2	1	XxjakegmrxX	0	2	33	56%	8	3	38%
1	3	DiesToRemoval#38340	6	Kaito, Dancing Shadow	GMT -5	grimstien1#5556 bpro_ XxjakegmrxX	yoyomuffin	1	2	DaJolla#5108	2	1	blakeleygaming	1	2	33	44%	9	4	44%
2	3	XxjakegmrxX	7	Teysa of the Ghost Council	GMT-5	BudzDaGawd @predchow DiesToRemoval#38340	MathemaTiGer128#0607	2	0	blakeleygaming	2	1	Freyalisër#3719	0	2	67	56%	7	4	57%
1	3	blakeleygaming	8	Satya, Aetherflux Genius	GMT - 8	themudman#8734 ArthurusBear#94635 masser	XxjakegmrxX	1	2	DiesToRemoval#38340	2	1	Freyalisër#3719	0	2	33	67%	8	3	38%
3	3	Freyalisër#3719	9	Uro, Titan of Natures Wrath	GMT +2	nicorave Proshaka onlyattarget	XxjakegmrxX	2	0	blakeleygaming	2	0	grimstien1#5556	2	0	100	44%	6	6	100%
1	3	grimstien1#5556	10	Minsc, Beloved Ranger	GMT -5	bpro_ DiesToRemoval#38340 el_chivo_x	Freyalisër#3719	0	2	BudzDaGawd	2	0	McClurkan#85329	0	2	33	78%	6	2	33%
1	3	BudzDaGawd	11	Ygra, Eater of All	GMT -5	el_chivo_x XxjakegmrxX @predchow	grimstien1#5556	0	2	McClurkan#85329	0	2	Proshaka	2	0	33	44%	6	2	33%
3	3	McClurkan#85329	12	Slimefoot and Squee	GMT-6	Sprucegoose8809 ulavala escanorthecat	BudzDaGawd	2	0	grimstien1#5556	2	0	Proshaka	2	0	100	22%	6	6	100%
0	3	Proshaka	13	Derevi, Empyrial Tactician	GMT -5	nicorave Freyalisër#3719 momo2000	BudzDaGawd	0	2	McClurkan#85329	0	2	onlyattarget	0	2	0	78%	6	0	0%
3	3	onlyattarget	14	Uro, Titan of Natures Wrath	GMT -5	nicorave Freyalisër#3719 momo2000	Proshaka	2	0	mcknight#9612	2	0	ArthurusBear#94635	2	0	100	11%	6	6	100%
0	3	mcknight#9612	15	Grenzo, Crooked Jailer	GMT +0	yoyomuffin inkheart#1346 Sprucegoose8809	onlyattarget	0	2	momo2000	0	2	Rendroc#6657	0	2	0	89%	6	0	0%
3	3	momo2000	16	Teferi, Time Raveler	GMT -5	Proshaka onlyattarget DaJolla#5108	mcknight#9612	2	0	ArthurusBear#94635	2	0	Rendroc#6657	2	0	100	33%	6	6	100%
1	3	ArthurusBear#94635	17	Toxrill, the Corrosive	GMT +1	thorntonamo themudman#8734 blakeleygaming	momo2000	0	2	onlyattarget	0	2	@predchow	2	0	33	67%	6	2	33%
2	3	Rendroc#6657	18	Gyruda, Doom of Depths	GMT -5	Mortred#7824 DaJolla#5108 MathemaTiGer128#0607	mcknight#9612	2	0	momo2000	0	2	thorntonamo	2	1	67	44%	7	4	57%
0	3	@predchow	20	Tamiyo, Field Researcher	GMT -5	XxjakegmrxX BudzDaGawd el_chivo_x	thorntonamo	0	2	ArthurusBear#94635	0	2	Mortred#7824	0	2	0	44%	6	0	0%
1	3	thorntonamo	21	Eladamri, Korvecdal	GMT -5	ulavala escanorthecat ArthurusBear#94635	Rendroc#6657	1	2	@predchow	2	0	Mortred#7824	0	2	33	44%	7	3	43%
2	3	Mortred#7824	23	Slimefoot and Squee	GMT -8	DaJolla#5108 Rendroc#6657 MathemaTiGer128#0607	thorntonamo	2	0	@predchow	2	0	Sprucegoose8809	0	2	67	44%	6	4	67%
3	3	Sprucegoose8809	24	Niv-Mizzet, Parun	GMT -5	yoyomuffin mcknight#9612 McClurkan#85329	Mortred#7824	2	0	escanorthecat	2	1	DemonOdda	2	1	100	33%	8	6	75%
1	3	escanorthecat	27	Nylea, Keen-Eyed	GMT-8	ulavala McClurkan#85329 thorntonamo	Sprucegoose8809	1	2	Clawed6#5212	2	1	tenebraephaedrus.	0	2	33	78%	8	3	38%
0	3	DemonOdda	168	The First Sliver	GMT -5	#N/A	tenebraephaedrus.	1	2	Sprucegoose8809	1	2	Clawed6#5212	0	2	0	78%	8	2	25%
1	3	Clawed6#5212	189	Sorin of House Markov	GMT +2	#N/A	escanorthecat	1	2	tenebraephaedrus.	0	2	DemonOdda	2	0	33	44%	7	3	43%
3	3	tenebraephaedrus.	238	Teferi, Hero of Dominaria	GMT +12	#N/A	escanorthecat	2	0	Clawed6#5212	2	0	DemonOdda	2	1	100	22%	7	6	86%
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
0	0					  										0	#DIV/0!	0	0	
								0	0		0	0		0	0					
								0	0		0	0		0	0					
