Wins	Matches	Discord tag	R	Commander	Time Zone	Week 1 Opponents	Week 2 Opponents	Week 3 Opponents	Adversaire 1	Score		Adversaire 2	Score		Adversaire 3	Score		MW%	OMW%	# G	GW	GW%
2	3	yoyomuffin	1	Derevi, Empyrial Tactician	GMT-7	inkheart#1346 mcknight#9612 Sprucegoose8809	DaJolla#5108 MathemaTiGer128#0607 DiesToRemoval#38340	Freyalisër#3719 McClurkan#85329 onlyattarget	momo2000	1	2	blakeleygaming	2	0	Mortred#7824	2	0	67%	67%	7	5	71%
3	3	MathemaTiGer128#0607	2	Crucias, Titan of the Waves	GMT +2	#N/A	yoyomuffin DaJolla#5108 XxjakegmrxX	momo2000 blakeleygaming DiesToRemoval#38340	McClurkan#85329	2	1	onlyattarget	2	0	Freyalisër#3719	2	0	100%	22%	7	6	86%
0	3	McClurkan#85329	3	Slimefoot and Squee	GMT-6	ulavala escanorthecat Sprucegoose8809	BudzDaGawd grimstien1#5556 Proshaka	Freyalisër#3719 yoyomuffin onlyattarget	MathemaTiGer128#0607	1	2	momo2000	0	2	DaJolla#5108	1	2	0%	89%	8	2	25%
3	3	momo2000	4	Teferi, Time Raveler	GMT -5	#N/A	mcknight#9612 ArthurusBear#94635 Rendroc#6657	Freyalisër#3719 XxjakegmrxX MathemaTiGer128#0607	yoyomuffin	2	1	McClurkan#85329	2	0	DiesToRemoval#38340	2	1	100%	44%	8	6	75%
0	3	onlyattarget	5	Uro, Titan of Natures Wrath	GMT -5	nicorave Freyalisër#3719 momo2000	Proshaka mcknight#9612 ArthurusBear#94635	McClurkan#85329 yoyomuffin XxjakegmrxX	MathemaTiGer128#0607	0	2	DaJolla#5108	0	2	DiesToRemoval#38340	0	2	0%	78%	6	0	0%
2	3	DaJolla#5108	6	Winota, Joiner of Forces	GMT +1	momo2000 Mortred#7824 Rendroc#6657	yoyomuffin MathemaTiGer128#0607 DiesToRemoval#38340	XxjakegmrxX blakeleygaming ArthurusBear#94635	onlyattarget	2	0	McClurkan#85329	2	1	Freyalisër#3719	1	2	67%	22%	8	5	63%
2	3	DiesToRemoval#38340	7	Kaito, Dancing Shadow	GMT -5	#N/A	yoyomuffin DaJolla#5108 blakeleygaming	Rendroc#6657 MathemaTiGer128#0607 Mortred#7824	momo2000	1	2	onlyattarget	2	0	thorntonamo	2	1	67%	44%	8	5	63%
2	3	Freyalisër#3719	8	Ragavan, Nimble Pilferer	GMT +2	#N/A	XxjakegmrxX blakeleygaming grimstien1#5556	McClurkan#85329 yoyomuffin momo2000	MathemaTiGer128#0607	0	2	DaJolla#5108	2	1	thorntonamo	2	0	67%	67%	7	4	57%
1	3	blakeleygaming	9	Satya, Aetherflux Genius	GMT - 8	#N/A	XxjakegmrxX DiesToRemoval#38340 Freyalisër#3719	MathemaTiGer128#0607 DaJolla#5108 Rendroc#6657	yoyomuffin	0	2	Mortred#7824	1	2	grimstien1#5556	2	0	33%	44%	7	3	43%
2	3	Mortred#7824	12	Muxus, Goblin Grandee	GMT -8	DaJolla#5108 Rendroc#6657 MathemaTiGer128#0607	thorntonamo @predchow Sprucegoose8809	DiesToRemoval#38340 ArthurusBear#94635 mcknight#9612	blakeleygaming	2	1	yoyomuffin	0	2	grimstien1#5556	2	1	67%	33%	8	4	50%
